0, -270.0, 3.0, 82.0, 71.0, 

1, -41.0, 10.0, 62.0, 98.0, 

2, -50.0, 0.0, 57.0, 63.0, 

3, 145.0, 2.0, 59.0, 71.0, 

4, 73.0, -5.0, 52.0, 93.0, 

5, -3.0, 20.0, 74.0, 68.0, 

6, 64.0, 21.0, 56.0, 75.0, 

7, -66.0, 8.0, 96.0, 68.0, 

8, 106.0, 25.0, 61.0, 73.0, 

9, 44.0, 4.0, 56.0, 62.0, 

10, -109.0, 3.0, 61.0, 81.0, 

11, 89.0, 8.0, 78.0, 82.0, 

12, -57.0, 2.0, 45.0, 75.0, 

13, -12.0, 5.0, 54.0, 71.0, 

14, 315.0, 0.0, 50.0, 71.0, 

15, -114.0, -25.0, 65.0, 64.0, 

16, -141.0, 9.0, 68.0, 67.0, 

17, 39.0, 9.0, 59.0, 58.0, 

18, -56.0, -6.0, 67.0, 78.0, 

19, -117.0, 20.0, 70.0, 90.0, 

20, 65.0, 4.0, 63.0, 60.0, 

21, 12.0, -12.0, 68.0, 74.0, 

22, -314.0, 19.0, 68.0, 77.0, 

23, 1.0, 10.0, 58.0, 64.0, 

24, -85.0, -5.0, 58.0, 75.0, 

25, -33.0, -8.0, 62.0, 63.0, 

26, -153.0, 23.0, 63.0, 59.0, 

27, 100.0, 6.0, 78.0, 70.0, 

28, -27.0, -5.0, 62.0, 75.0, 

29, 9.0, -4.0, 77.0, 66.0, 

30, 56.0, -11.0, 60.0, 77.0, 

31, 102.0, 15.0, 75.0, 68.0, 

32, 22.0, -4.0, 66.0, 90.0, 

33, 172.0, -2.0, 65.0, 74.0, 

34, -102.0, 6.0, 85.0, 93.0, 

35, -95.0, -15.0, 87.0, 73.0, 

36, -3.0, -8.0, 74.0, 70.0, 

37, 139.0, -3.0, 68.0, 71.0, 

38, -14.0, 16.0, 58.0, 57.0, 

39, 123.0, 0.0, 48.0, 71.0, 

40, -127.0, 0.0, 65.0, 50.0, 

41, 3.0, 17.0, 83.0, 67.0, 

42, -2.0, 30.0, 56.0, 76.0, 

43, -100.0, 5.0, 87.0, 70.0, 

44, -141.0, -4.0, 72.0, 91.0, 

45, -14.0, 9.0, 89.0, 80.0, 

46, 34.0, -4.0, 63.0, 75.0, 

47, -75.0, -4.0, 93.0, 75.0, 

48, -53.0, 11.0, 49.0, 68.0, 

49, 162.0, 18.0, 56.0, 82.0, 

50, -110.0, -18.0, 67.0, 71.0, 

51, -257.0, 11.0, 89.0, 71.0, 

52, 75.0, 16.0, 70.0, 69.0, 

53, -31.0, 5.0, 64.0, 69.0, 

54, 14.0, 3.0, 57.0, 73.0, 

55, -89.0, -14.0, 53.0, 69.0, 

56, -246.0, 17.0, 54.0, 47.0, 

57, -104.0, -3.0, 68.0, 82.0, 

58, 129.0, 2.0, 77.0, 88.0, 

59, -53.0, 31.0, 76.0, 74.0, 

60, -211.0, -14.0, 70.0, 69.0, 

61, 238.0, -27.0, 66.0, 64.0, 

62, -54.0, -5.0, 61.0, 82.0, 

63, 6.0, 9.0, 69.0, 71.0, 

64, -24.0, -12.0, 65.0, 86.0, 

65, 83.0, -10.0, 81.0, 110.0, 

66, -191.0, 5.0, 54.0, 83.0, 

67, 26.0, -17.0, 87.0, 57.0, 

68, 8.0, 8.0, 69.0, 58.0, 

69, -3.0, -11.0, 58.0, 71.0, 

70, -57.0, -3.0, 79.0, 96.0, 

71, -50.0, 5.0, 84.0, 58.0, 

72, 142.0, -11.0, 59.0, 54.0, 

73, 158.0, -5.0, 89.0, 74.0, 

74, 185.0, -5.0, 61.0, 71.0, 

75, -2.0, 3.0, 64.0, 67.0, 

76, -162.0, 1.0, 99.0, 70.0, 

77, -52.0, -7.0, 72.0, 62.0, 

78, 113.0, 8.0, 57.0, 48.0, 

